sep=;
Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2022-02-23;2181,54;2139,68;2142,03;;1;;
2022-02-22;2175,99;2108,69;2157,92;;1;;
2022-02-21;2212,63;2140,62;2159,30;;1;;
2022-02-18;2231,17;2190,13;2197,72;;1;;
2022-02-17;2272,57;2224,25;2229,15;;1;;
2022-02-16;2290,95;2256,76;2263,41;;1;;
2022-02-15;2285,87;2234,00;2282,06;;1;;
2022-02-14;2247,55;2210,58;2240,97;;1;;
2022-02-11;2304,41;2284,33;2293,77;;1;;
2022-02-10;2324,67;2299,65;2314,26;;1;;
2022-02-09;2320,46;2283,64;2313,14;;1;;
2022-02-08;2291,32;2262,46;2274,40;;1;;
2022-02-07;2282,05;2252,12;2278,64;;1;;
2022-02-04;2300,25;2250,14;2254,30;;1;;
2022-02-03;2323,12;2275,98;2277,67;;1;;
2022-02-02;2331,91;2317,65;2324,48;;1;;
2022-02-01;2321,64;2304,10;2313,20;;1;;
2022-01-31;2302,16;2281,30;2290,16;;1;;
2022-01-28;2271,87;2232,12;2266,82;;1;;
2022-01-27;2290,02;2242,22;2270,12;;1;;
2022-01-26;2297,90;2257,04;2286,11;;1;;
2022-01-25;2262,95;2225,73;2239,72;;1;;
2022-01-24;2302,24;2211,43;2223,99;;1;;
2022-01-21;2331,67;2296,10;2314,06;;1;;
2022-01-20;2359,63;2325,38;2354,51;;1;;
2022-01-19;2355,27;2306,98;2332,96;;1;;
2022-01-18;2351,50;2309,86;2322,80;;1;;
2022-01-17;2372,94;2353,46;2363,12;;1;;
2022-01-14;2383,50;2356,00;2358,29;;1;;
2022-01-13;2405,24;2386,56;2397,96;;1;;
2022-01-12;2405,00;2374,59;2399,18;;1;;
2022-01-11;2387,13;2365,11;2379,19;;1;;
2022-01-10;2415,91;2346,57;2352,73;;1;;
2022-01-05;2460,71;2442,81;2442,81;;1;;
2022-01-04;2466,93;2450,63;2456,17;;1;;
2022-01-03;2450,68;2424,04;2444,19;;1;;
2021-12-30;2425,20;2415,16;2419,73;;1;;
2021-12-29;2424,06;2410,76;2418,90;;1;;
2021-12-28;2422,44;2406,25;2420,47;;1;;
